Description|Code1
???|AI
???|ASCII
???|Absolute Entertainment
???|Acclaim Entertainment
???|Activision
???|Actvision
???|Advance Communication Company
???|Aicom
???|American Sammy
???|American Softworks
???|Another
???|Arc System Works
???|Arcadia Systems
???|Asmik
???|Atelier Double
???|Athena
???|Atlus
???|Audiogenic
???|Bandai
???|Beam Software
???|Bethesda Softworks
???|Bit Managers
???|Bitmasters
???|Bits Corporation
???|Bits Studios
???|Brøderbund
???|Bullet-Proof Software
???|CSG Imagesoft
???|Capcom
???|Carry Lab
???|Chris Gray Enterprises
???|Chunsoft
???|Cirque Verte
???|Compile
???|Crosstalk
???|Culture Brain
???|Cyclone System
???|Daiei Seisakusho
???|Dark Technologies
???|Data East
???|David BrabenIan Bell
???|Distinctive Software
???|EIM
???|Eastridge Technology
???|Electro Brain
???|Electronic Arts
???|Elite Systems
???|Enigma Variations
???|Enix
???|Equilibrium
???|Escape/Westone
???|Eurocom
???|FCI
???|FarSight Studios
???|Game Arts
???|Game Freak
???|GameTek
???|Graphic Research
???|Gray Matter Inc.
???|Gray Matter Interactive
???|Gremlin Graphics
???|Gremlin Interactive
???|HAL America
???|HAL Laboratory
???|Hi Tech Expressions
???|Home Data
???|Hot-B
???|Hudson Soft
???|Human Entertainment
???|I.T.L
???|INTV
???|Imagineer
???|Imagineering
???|Imagitec
???|Incredible Technologies
???|Infinity
???|Infocom
???|Infogrames
???|Intelligent Systems
???|Interplay Entertainment
???|Interplay Productions
???|Irem
???|Ironwind Software
???|JVC Musical Industries
???|Jaleco
???|Jastec
???|KAZe
???|KID
???|Kemco
???|Kemco*Seika
???|Koei
???|Konami
???|LJN
???|Laser Beam Entertainment
???|Lenar
???|Locomotive Corporation
???|Loriciel
???|Lucasfilm Games
???|Magnetic Fields
???|Make Software
???|Manfred Trenz
???|Marionette
???|Matchbox
???|Mattel
???|Meldac
???|MicroProse
???|Micronics
???|Milestone srl
???|Milton Bradley Company
???|Mind's Eye
???|Mindscape
???|MotiveTime
???|Movie Software
???|NMK
???|NMS Software
???|NTVIC
???|Namco
???|Natsume
???|Neue Design
???|New World Computing
???|Newtopia Planning
???|Nexoft
???|Nichibutsu
???|Nihon Bussan
???|Nihon Falcom
???|Nintendo
???|Nintendo Research & Development 1
???|Nintendo Research & Development 2
???|Nintendo Research & Development 3
???|Nintendo Research & Development 4
???|Novotrade International
???|Now Production
???|OLM
???|Ocean Software
???|Opera House
???|Origin Systems
???|Pack-In-Video
???|Painting by Numbers
???|Palcom Software
???|Park Place Productions
???|Parker Brothers
???|Pixel
???|Probe Software
???|Quest
???|Radiance
???|Radical Entertainment
???|Raffaele Cecco
???|Rare
???|Realtime Associates
???|Richard Seaborne
???|Riedel Software Productions
???|Rocket Science Productions
???|Romstar
???|SETA
???|SNK
???|SOFEL
???|SRS
???|Sakata SAS
???|Sammy Japan
???|Sandcastle
???|Sculptured Software
???|Shimada Kikaku
???|Shouei System
???|Sir-Tech
???|Soft House
???|Softie
???|Software Creations
???|Software Toolworks
???|Sol
???|Sony Imagesoft
???|Source Research & Development
???|Special FX
???|Special FX Software
???|Spidersoft
???|Square
???|Storm
???|Sunsoft
???|System 3
???|T&E Soft
???|THQ
???|TOSE
???|Taito
???|Takara
???|Takeru
???|Tamtex
???|Taxan
???|Techn?s Japan
???|Tecmo
???|Teeny Weeny Games
???|Tengen
???|The Bitmap Brothers
???|The Sales Curve
???|Thinking Rabbit
???|Titus Software
???|Toaplan
???|Toho
???|Tradewest
???|Triffix
???|Twilight
???|Ubisoft
???|Ultra Games
???|Vic Tokai
???|Vid Kidz
???|Virgin Interactive
???|Virgin Mastertronic
???|Visco Corporation
???|Visual Concepts
???|Westwood Associates
???|Winkysoft
???|Workss
???|YY
???|Zippo Games
