Description|Code1|Code2
Sinclair ZX Spectrum|+2|
Sinclair ZX Spectrum|+2a|
Sinclair ZX Spectrum|+3|
Atari 8-bit|130XE|
Commodore Amiga|A1000|
Commodore Amiga|A1200|
Commodore Amiga|A1200-A4000|
Commodore Amiga|A2000|
Commodore Amiga|A2000-A3000|
Commodore Amiga|A2024|
Commodore Amiga|A2500-A3000UX|
Commodore Amiga|A3000|
Commodore Amiga|A4000|
Commodore Amiga|A4000T|
Commodore Amiga|A500|
Commodore Amiga|A500+|
Commodore Amiga|A500-A1000-A2000|
Commodore Amiga|A500-A1000-A2000-CDTV|
Commodore Amiga|A500-A1200|
Commodore Amiga|A500-A1200-A2000-A4000|
Commodore Amiga|A500-A2000|
Commodore Amiga|A500-A600-A2000|
Commodore Amiga|A570|
Commodore Amiga|A600|
Commodore Amiga|A600HD|
Commodore Amiga|AGA|
Commodore Amiga|AGA-CD32|
Nintendo NES|Aladdin Deck Enhancer|
Commodore Amiga|CD32|
Commodore Amiga|CDTV|
Nintendo NES|Computrainer|
Nintendo NES|Doctor PC Jr.|
Commodore Amiga|ECS|
Commodore Amiga|ECS-AGA|
Osborne 1 & Executive|Executive|
Atari ST|Mega ST|
Atari ST|Mega-STE|
Commodore Amiga|OCS|
Commodore Amiga|OCS-AGA|
???|ORCH80|
Osborne 1 & Executive|Osbourne 1|
???|PIANO90|
Nintendo NES|PlayChoice-10|PC10
???|Plus4|
Microkey Primo|Primo-A|
Microkey Primo|Primo-A64|
Microkey Primo|Primo-B|
Microkey Primo|Primo-B64|
Microkey Primo|Pro-Primo|
Atari ST|ST|
Atari ST|STE|
???|STE-Falcon|
Atari ST|TT|
MSX|TURBO-R GT|
MSX|TURBO-R ST|
Nintendo NES|VS DualSystem|
Nintendo NES|VS UniSystem|
Xbox Live Arcade|XBLA|
